# Mark bad weather, either by a range of exposure numbers or UT time
# type is one of
# * bad: repeat this observation; existing data are probably useless
# * marginal: not photometric, but usable
start, end, type

# run 1a

2016-03-13T15:00:00, 2016-03-14T03:45:00, marginal
2016-03-14T05:35:00, 2016-03-14T06:00:00, marginal
2016-03-14T06:00:00, 2016-03-14T07:45:00, bad
2016-03-14T07:45:00, 2016-03-14T08:00:00, marginal

2016-03-14T15:00:00, 2016-03-14T23:53:00, marginal
2016-03-15T01:00:00, 2016-03-15T01:50:00, marginal
2016-03-15T02:20:00, 2016-03-15T03:10:00, marginal
2016-03-15T03:54:00, 2016-03-15T04:21:00, marginal

2016-03-16T02:50:00, 2016-03-16T04:00:00, marginal
2016-03-16T04:00:00, 2016-03-16T15:00:00, bad

2016-03-16T15:00:00, 2016-03-17T02:05:05, bad
2016-03-17T02:05:00, 2016-03-17T05:15:00, marginal
2016-03-17T05:15:00, 2016-03-17T07:42:00, bad
2016-03-17T07:42:00, 2016-03-17T15:00:00, marginal

# run 1b

# 2016-03-23: all clear

# 2016-03-24: all clear

2016-03-26T03:20:00, 2016-03-26T04:35:00, marginal
2016-03-26T04:35:00, 2016-03-26T05:03:00, bad
2016-03-26T05:03:00, 2016-03-26T05:18:00, marginal
2016-03-26T05:50:00, 2016-03-26T06:50:00, marginal
2016-03-26T06:50:00, 2016-03-26T09:10:00, bad
2016-03-26T09:10:00, 2016-03-26T09:30:00, marginal

# 2016-03-26: all clear

# run 2a

2016-08-10T23:00:00, 2016-08-11T02:40:00, bad

2016-08-15T01:00:00, 2016-08-15T01:10:00, marginal
2016-08-15T01:10:00, 2016-08-15T02:35:00, bad
2016-08-15T02:35:00, 2016-08-15T03:00:00, marginal
# willing to call sky clear now.

# 2016-08-15: all clear


